id,title,description,availability,condition,price,link,image_link,brand,google_product_category
11028883472722,Mosaïque Necklace,"Perles d'eau douce blanches — argent. Fait main à Paris, en édition limitée.",in stock,new,150.00 EUR,https://atelier-kibo.com/produit-mosaique.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-bianca.jpg?v=1786776684,KIBO Paris,Apparel & Accessories > Jewelry
11028883439954,Rosa Necklace,"Nacre rose pastel — fleur en verre. Fait main à Paris, en édition limitée.",in stock,new,90.00 EUR,https://atelier-kibo.com/produit-rosa.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-rosa.jpg?v=1786776684,KIBO Paris,Apparel & Accessories > Jewelry
11028883407186,Oliva Necklace,"Perles et verre vert — grappe de fleurs. Fait main à Paris, en édition limitée.",in stock,new,90.00 EUR,https://atelier-kibo.com/produit-oliva.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-oliva.jpg?v=1786776684,KIBO Paris,Apparel & Accessories > Jewelry
11028883341650,Mimosa Necklace,"Verre jaune miel — fleurs mimosa. Fait main à Paris, en édition limitée.",in stock,new,90.00 EUR,https://atelier-kibo.com/produit-mimosa.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-mimosa.jpg?v=1786776683,KIBO Paris,Apparel & Accessories > Jewelry
11028883308882,Marina Bracelet,"Perles et verre rayé marine. Fait main à Paris, en édition limitée.",in stock,new,50.00 EUR,https://atelier-kibo.com/produit-marina.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-marina.jpg?v=1786776683,KIBO Paris,Apparel & Accessories > Jewelry
11028883276114,Menta Bracelet,"Perles et verre rayé menthe. Fait main à Paris, en édition limitée.",in stock,new,50.00 EUR,https://atelier-kibo.com/produit-menta.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-menta.jpg?v=1786776682,KIBO Paris,Apparel & Accessories > Jewelry
11028883243346,Laguna Bracelet,"Nacre et verre — couleurs sorbet. Fait main à Paris, en édition limitée.",in stock,new,45.00 EUR,https://atelier-kibo.com/produit-laguna-bracelet.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-laguna-bracelet.jpg?v=1786776682,KIBO Paris,Apparel & Accessories > Jewelry
11028883210578,Perla Bracelet,"Perles d'eau douce — éclats pastel. Fait main à Paris, en édition limitée.",in stock,new,55.00 EUR,https://atelier-kibo.com/produit-perla.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-perla.jpg?v=1786776681,KIBO Paris,Apparel & Accessories > Jewelry
11028883177810,Riviera Necklace,"Perles fines multicolores — étoile turquoise. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-riviera.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-riviera.jpg?v=1786776680,KIBO Paris,Apparel & Accessories > Jewelry
11028883145042,Marea Necklace,"Perles et verre bleu — étoile de mer. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-marea.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-marea.jpg?v=1786776680,KIBO Paris,Apparel & Accessories > Jewelry
11028883079506,Stella Necklace,"Millefiori chauds — étoile de mer en verre. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-stella.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-stella.jpg?v=1786776679,KIBO Paris,Apparel & Accessories > Jewelry
11028883013970,Bodrum Necklace,"Verre azur, fleurs bleues — œil protecteur. Fait main à Paris, en édition limitée.",in stock,new,90.00 EUR,https://atelier-kibo.com/produit-bodrum.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-bodrum.jpg?v=1786776679,KIBO Paris,Apparel & Accessories > Jewelry
11028882981202,Amore Necklace,"Perles d'eau douce — cœur d'argent. Fait main à Paris, en édition limitée.",in stock,new,190.00 EUR,https://atelier-kibo.com/produit-amore.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-amore.jpg?v=1786776678,KIBO Paris,Apparel & Accessories > Jewelry
11028882948434,Halo Necklace,"Perles d'eau douce — chaîne argentée. Fait main à Paris, en édition limitée.",in stock,new,160.00 EUR,https://atelier-kibo.com/produit-halo.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-casablanca.jpg?v=1786776678,KIBO Paris,Apparel & Accessories > Jewelry
11028882915666,Laguna Necklace,"Nacre pastel — rose, menthe, lilas. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-laguna.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-laguna.jpg?v=1786776677,KIBO Paris,Apparel & Accessories > Jewelry
11028882882898,Capri Necklace,"Verre fleuri, reflets d'eau — touches d'or. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-capri.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-capri.jpg?v=1786776677,KIBO Paris,Apparel & Accessories > Jewelry
11028882850130,Positano Necklace,"Nacre bonbon — fermoir doré. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-positano.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-positano.jpg?v=1786776677,KIBO Paris,Apparel & Accessories > Jewelry
11028882817362,Eclipse Necklace,"Perles blanches et sombres — fleurs d'argent. Fait main à Paris, en édition limitée.",in stock,new,160.00 EUR,https://atelier-kibo.com/produit-eclipse.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-tahiti.jpg?v=1786776676,KIBO Paris,Apparel & Accessories > Jewelry
11028882784594,Ibiza Necklace,"Perles rayées soleil — fermoir doré. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-ibiza.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-ibiza.jpg?v=1786776676,KIBO Paris,Apparel & Accessories > Jewelry
11028882751826,Rio Necklace,"Perles d'eau douce — verre soufflé multicolore. Fait main à Paris, en édition limitée.",in stock,new,90.00 EUR,https://atelier-kibo.com/produit-rio.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-rio.jpg?v=1786776675,KIBO Paris,Apparel & Accessories > Jewelry
11028882719058,Santorini Necklace,"Perles grises, verre bleu — œil grec. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-santorini.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-santorini.jpg?v=1786776675,KIBO Paris,Apparel & Accessories > Jewelry
11028882653522,Murano Necklace,"Perles d'eau douce — verre millefiori. Fait main à Paris, en édition limitée.",in stock,new,120.00 EUR,https://atelier-kibo.com/produit-murano.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-murano.jpg?v=1786776674,KIBO Paris,Apparel & Accessories > Jewelry
11028882587986,Limone Necklace,"Perles et verre citron — smileys verts. Fait main à Paris, en édition limitée.",in stock,new,140.00 EUR,https://atelier-kibo.com/produit-limone.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-limone.jpg?v=1786776674,KIBO Paris,Apparel & Accessories > Jewelry
11028882555218,Vertigo Necklace,"Perles d'eau douce, argent vieilli — smileys bleus. Fait main à Paris, en édition limitée.",in stock,new,180.00 EUR,https://atelier-kibo.com/produit-vertigo.html,https://cdn.shopify.com/s/files/1/1100/3487/8802/files/produit-palermo.jpg?v=1786776674,KIBO Paris,Apparel & Accessories > Jewelry
